time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
3160,2605.682,839.557,837.212,1001.24,655.49,1481.984,868.582,865.934,860.992,1028.062,2203.951,1140.708,1314.745,1245.059,2657.027,505.577,1302.25,1225.009,1477.564,808.782
3200,2692.604,927.094,848.745,977.255,730.716,1474.945,857.645,840.898,840.262,1121.652,2401.788,1212.401,1383.499,1190.16,2581.935,555.938,1287.679,1279.036,1596.453,824.298
3240,2647.891,933.336,862.817,1029.178,820.029,1441.539,920.898,906.984,876.816,1162.188,2346.613,1217.089,1433.115,1300.508,2647.638,524.722,1216.393,1213.036,1519.946,846.564
3280,2664.82,948.312,785.067,953.082,812.221,1383.23,824.059,891.707,866.219,1080.465,2186.381,1145.433,1339.278,1330.867,2640.321,569.381,1236.571,1266.83,1497.307,838.536
3320,2642.115,908.716,825.034,1022.611,782.611,1433.344,868.816,856.609,806.883,1055.867,2090.851,1079.854,1285.372,1150.043,2617.843,496.897,1352.518,1243.929,1526.149,756.209
3360,2667.271,910.18,865.024,1023.385,782.341,1408.703,883.59,889.059,863.102,1059.809,2153.98,1219.226,1423.622,1312.348,2610.331,524.845,1230.786,1314.902,1652.599,850.41
3400,2712.042,929.411,814.351,992.486,735.562,1454.145,959.012,924.648,858.551,1027.102,2024.648,1207.725,1456.874,1354.754,2679.939,576.763,1280.241,1239.902,1539.59,800.046
3440,2646.221,925.443,837.192,978.716,698.111,1457.93,873.816,836.141,853.527,1052.184,1906.59,1186.097,1363.072,1305.047,2624.433,517.464,1291.25,1212.134,1523.963,828.16
3480,2564.63,891.294,827.269,993.938,785.928,1350.137,892.719,835.062,843.059,1036.223,1944.98,1111.659,1299.894,1327.984,2633.539,529.814,1323.848,1186.054,1580.596,769.12
3520,2620.794,876.203,828.918,961.851,839.139,1415.059,950.242,884.129,920.141,1075.66,1802.602,1210.642,1406.957,1341.762,2684.137,593.804,1312.911,1205.241,1658.069,781.931
3560,2618.883,892.924,851.529,1047.082,727.837,1338.797,918.789,930.859,897.445,1133.09,1828.338,1120.372,1444.656,1303.906,2627.768,527.423,1272.134,1210.938,1595.731,848.702
3600,2635.635,916.276,787.562,1045.649,788.495,1369.078,899,903.332,865.051,1062.148,1893.295,1120.799,1355.481,1418.902,2639.901,472.598,1298.955,1321.991,1487.212,767.928
3640,2516.237,855.039,796.284,1046.087,809.231,1329.406,880.988,896.387,825.34,1093.754,1894.894,1133.639,1406.908,1334.727,2612.007,464.773,1256.027,1244.955,1584.702,781.003
3680,2677.911,864.266,811.312,1034.62,845.63,1413.449,878.328,889.148,827.195,1112.773,1876.301,1106.057,1368.928,1287.715,2648.788,457.34,1219.393,1253.054,1609.779,776.384
3720,2799.102,844.156,867.365,1010.668,934.644,1366.367,925.844,917.484,859.816,1114.309,1987.436,1133.287,1489.668,1166.578,2683.119,508.969,1295.58,1280.446,1667.011,763.453
3760,2782.078,930.76,859.981,984.952,787.606,1397.645,845.543,940.812,835.621,1088.645,1894.971,1149.438,1378.37,1080.215,2675.693,495.381,1203.402,1217.446,1609.372,771.682
3800,2643.99,862.995,809.529,957.591,765.514,1327.273,876.523,865.473,766.691,1036.578,1820.533,1021.986,1341.223,1025.945,2637.205,490.876,1219.339,1144.393,1575.39,781.665
3840,2614.547,806.151,811.293,1011,759.183,1399.492,915.633,888.523,781.602,1070.234,1811.284,1014.201,1373.88,941.164,2644.601,461.948,1161.009,1274.812,1656.888,769.421
